id,start,end,name,url
1,2025-10-28T17:00+01:00,2025-12-02T17:00+01:00,Rozcinanie figur,./1-251202-Rozcinanie_figur.pdf
2,2025-11-18T17:00+01:00,2025-12-09T17:00+01:00,Języki,./jezyki.pdf
3,2025-11-23T17:00+01:00,2025-12-16T17:00+01:00,Składanie kwadratu,./3-251216-Składanie_kwadratu.pdf
4,2025-12-02T17:00+01:00,2025-12-16T17:00+01:00,Część całości,./4-251216-Część_całości.pdf
5,2026-01-17T14:00+01:00,2026-02-10T17:00+01:00,Przeprawa giermków i rycerzy, ./zad5-25.pdf
6,2026-01-17T14:00+01:00,2026-02-10T17:00+01:00,Algebraf, ./zad6-25.pdf
7,2026-02-03T17:00+01:00,2026-02-17T17:00+01:00,Trzy okręgi,./7-260217-Trzy_okręgi.pdf
8,2026-02-17T16:00+01:00,2026-02-24T17:00+01:00,Algebraf DWA,./KLZ-8-26.pdf
9,2026-02-17T17:00+01:00,2026-03-03T17:00+01:00,Nierówności trójkąta w czworościanie,./9-260303-Nierówności_trójkąta_w_czworościanie.pdf
10,2026-03-03T16:00+01:00,2026-03-10T17:00+01:00,Iloczyny,./KLZ-2025-10.pdf
11,2026-03-03T17:00+01:00,2026-03-31T17:00+01:00,Kąty,./11-260331-Kąty.pdf
12,2026-03-03T17:00+01:00,2026-03-24T17:00+01:00,Reszta 2,./KLZ-12-2026.pdf
13,2026-04-21T17:00+02:00,2026-05-05T17:00+02:00,Dwusieczne,./13-260505-Dwusieczne.pdf
14,2026-05-06T17:00+02:00,2026-05-19T17:00+02:00,Sumy ułamków,./KLZ-2025-14.pdf
